city,review,rating
München,"Well-stocked store, but 50% of the offers are incorrect or are billed incorrectly at the checkout. It's not just us - 10 clementines were returned right in front of us because they were suddenly no longer on offer. We were then charged for the expensive bananas and not for the ones that were on offer. That's annoying! Since there were probably trainees at the checkout who unfortunately didn't know their way around at all, we couldn't clarify our concerns.",3
München,"Well-stocked store, but 50% of the offers are incorrect or are billed incorrectly at the checkout. It's not just us - 10 clementines were returned right in front of us because they were suddenly no longer on offer. We were then charged for the expensive bananas and not for the ones that were on offer. That's annoying! Since there were probably trainees at the checkout who unfortunately didn't know their way around at all, we couldn't clarify our concerns.",3
München,"Well-stocked store, but 50% of the offers are incorrect or are billed incorrectly at the checkout. It's not just us - 10 clementines were returned right in front of us because they were suddenly no longer on offer. We were then charged for the expensive bananas and not for the ones that were on offer. That's annoying! Since there were probably trainees at the checkout who unfortunately didn't know their way around at all, we couldn't clarify our concerns.",3
München,"Well-stocked store, but 50% of the offers are incorrect or are billed incorrectly at the checkout. It's not just us - 10 clementines were returned right in front of us because they were suddenly no longer on offer. We were then charged for the expensive bananas and not for the ones that were on offer. That's annoying! Since there were probably trainees at the checkout who unfortunately didn't know their way around at all, we couldn't clarify our concerns.",3
München,"Well-stocked store, but 50% of the offers are incorrect or are billed incorrectly at the checkout. It's not just us - 10 clementines were returned right in front of us because they were suddenly no longer on offer. We were then charged for the expensive bananas and not for the ones that were on offer. That's annoying! Since there were probably trainees at the checkout who unfortunately didn't know their way around at all, we couldn't clarify our concerns.",3
Hamburg,"This Edeka is quite expensive, but also the only one in this corner. So of course this monopoly is being exploited and the many workers in the area have little choice.
But why is there so much alcohol on offer? There are many other things that are missing here.",3
Hamburg,"This Edeka is quite expensive, but also the only one in this corner. So of course this monopoly is being exploited and the many workers in the area have little choice.
But why is there so much alcohol on offer? There are many other things that are missing here.",3
Hamburg,"This Edeka is quite expensive, but also the only one in this corner. So of course this monopoly is being exploited and the many workers in the area have little choice.
But why is there so much alcohol on offer? There are many other things that are missing here.",3
Rhein,"The store is extremely well stocked. Great vegetable department, great meat department, nice, courteous employees in the market.  As it should actually be. So far I haven't given much thought to whether I like going there or not. But I do my shopping there almost every day. Both me and my husband do the bulk shopping on the weekend. However, this is the second time that I have been discriminated against because of my origin and by a cashier. Totally cheeky and snotty.  I have to weigh the fruit beforehand and not have it weighed at the checkout. And what I could think of was to take bags for the fruit. and whether I knew what I was doing to the environment? And that because I took fruit bags for bananas, celery, broccoli etc. that are sold in the market?  A bottomless impudence from this cashier. And because of something like me you would want to vote for the AfD. An outrage!!! When I asked for management to be brought to me here, they even pointed the finger at me and used anti-social language like “old age” etc. .added on top. Incredible!",1
Rhein,"The store is extremely well stocked. Great vegetable department, great meat department, nice, courteous employees in the market.  As it should actually be. So far I haven't given much thought to whether I like going there or not. But I do my shopping there almost every day. Both me and my husband do the bulk shopping on the weekend. However, this is the second time that I have been discriminated against because of my origin and by a cashier. Totally cheeky and snotty.  I have to weigh the fruit beforehand and not have it weighed at the checkout. And what I could think of was to take bags for the fruit. and whether I knew what I was doing to the environment? And that because I took fruit bags for bananas, celery, broccoli etc. that are sold in the market?  A bottomless impudence from this cashier. And because of something like me you would want to vote for the AfD. An outrage!!! When I asked for management to be brought to me here, they even pointed the finger at me and used anti-social language like “old age” etc. .added on top. Incredible!",1
